pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150.0,z,,,,,4,3,19,3,298.47415891699984,299.4746937919999,299.4746937919999,299.4746937919999,299.4746937919999,299.4746937919999,300.4738271670003,300.4738271670003,z,1,0.623918999000125,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,,,,,5,0,20,2,301.12423412499993,302.124109417,302.124109417,302.124109417,302.124109417,302.124109417,303.1239080000005,303.1239080000005,c,1,0.5024693739997019,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,,,,,5,1,21,0,303.65695841700017,304.6577520840001,304.6577520840001,304.6577520840001,304.6577520840001,304.6577520840001,305.6573314590005,305.6573314590005,x,1,0.42599945799975103,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,,,,,5,2,22,3,306.106848292,307.10740824999993,307.10740824999993,307.10740824999993,307.10740824999993,307.10740824999993,308.09160279200023,308.09160279200023,z,1,0.5728117909993671,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,,,,,5,3,23,1,308.6911575419999,309.69092462499975,309.69092462499975,309.69092462499975,309.69092462499975,309.69092462499975,310.6907549999996,310.6907549999996,v,1,0.9581344580001314,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,,,,,6,0,24,0,311.67401166699983,312.6740769170001,312.6740769170001,312.6740769170001,312.6740769170001,312.6740769170001,313.6738058339997,313.6738058339997,x,1,0.7487935409999409,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,,,,,6,1,25,1,314.4411445420001,315.44078337500014,315.44078337500014,315.44078337500014,315.44078337500014,315.44078337500014,316.4408047090001,316.4408047090001,v,1,0.6146438329997181,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,,,,,6,2,26,3,317.07450487500046,318.0742851670002,318.0742851670002,318.0742851670002,318.0742851670002,318.0742851670002,319.07419387499976,319.07419387499976,z,1,0.6824772910003958,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,,,,,6,3,27,2,319.7745070000001,320.77487674999975,320.77487674999975,320.77487674999975,320.77487674999975,320.77487674999975,321.7744996669999,321.7744996669999,c,1,0.795437748999575,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,,,,,7,0,28,3,322.59119708399976,323.5909987920004,323.5909987920004,323.5909987920004,323.5909987920004,323.5909987920004,324.59113108400015,324.59113108400015,z,1,0.453420998999718,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
